,date,stock,day_0,day_-1,day_-2,day_-3,day_-4,day_-5,day_-6,day_-7,day_-8,day_-9,day_-10,day_-11,day_-12,day_-13,day_-14,day_-15,day_-16,day_-17,day_-18,day_-19
0,2020-02-04,FTSE,74,13,8,80,78,76,79,85,13,11,78,77,78,73,89,14,10,93,90,85
1,2020-02-03,FTSE,83,78,13,9,79,80,78,81,87,13,10,81,81,82,79,92,15,10,100,92
2,2020-01-31,FTSE,79,84,77,78,77,14,9,76,79,76,78,86,14,9,73,77,78,75,91,14
3,2020-01-30,FTSE,10,84,84,83,85,79,13,9,78,81,81,85,89,14,11,79,80,83,78,96
4,2020-01-29,FTSE,14,11,88,83,87,85,82,13,9,81,81,79,83,85,14,10,79,82,81,76
5,2020-01-28,FTSE,96,15,10,89,89,90,85,76,14,9,80,82,82,83,89,14,10,82,85,82
6,2020-01-27,FTSE,91,97,16,11,85,90,83,85,75,12,9,79,87,81,82,87,14,10,83,79
7,2020-01-24,FTSE,79,71,16,100,95,17,11,93,92,91,84,86,13,11,82,88,83,85,89,14
8,2020-01-23,FTSE,11,79,69,17,96,100,15,11,88,92,84,85,79,13,10,83,82,82,85,91
9,2020-02-04,AAPL,51,12,8,46,47,46,48,47,12,7,15,36,41,40,43,11,7,45,100,100
10,2020-02-03,AAPL,53,47,13,7,46,46,44,47,42,12,7,15,36,39,38,40,11,7,45,100
11,2020-01-31,AAPL,39,39,48,51,49,12,7,45,47,46,46,44,11,7,16,37,41,40,40,11
12,2020-01-30,AAPL,7,37,38,45,53,50,12,7,44,44,44,43,41,11,7,16,36,39,37,40
13,2020-01-29,AAPL,10,6,39,37,48,52,48,12,7,47,46,44,43,43,11,7,16,36,40,36
14,2020-01-28,AAPL,50,11,8,37,39,47,54,48,10,7,45,46,45,46,45,12,7,17,35,39
15,2020-01-27,AAPL,88,93,19,13,72,69,93,100,93,23,14,87,85,84,87,86,22,13,28,68
16,2020-01-24,AAPL,68,69,25,95,96,20,15,77,78,93,100,100,22,15,90,92,90,88,94,24
17,2020-01-23,AAPL,12,62,67,23,86,93,20,13,72,68,90,100,94,24,13,88,89,85,83,88
18,2020-02-04,DJI,88,94,100,96,89,91,84,84,94,93,95,91,85,84,82,86,88,82,81,76
19,2020-02-03,DJI,91,86,91,100,94,87,89,84,87,96,96,91,88,87,84,82,89,93,82,82
20,2020-01-31,DJI,100,94,97,96,96,97,100,97,91,91,92,88,96,95,97,90,87,88,85,90
21,2020-01-30,DJI,100,96,92,95,94,92,97,99,99,87,89,83,87,92,91,90,91,86,83,82
22,2020-01-29,DJI,98,100,91,89,93,87,88,91,94,92,83,86,81,84,92,89,92,84,83,83
23,2020-01-28,DJI,99,100,98,94,87,89,91,87,90,97,92,87,86,85,83,92,91,90,84,81
24,2020-01-27,DJI,100,95,91,90,86,84,86,82,81,87,85,85,78,81,77,79,83,84,84,78
25,2020-01-24,DJI,97,92,98,100,96,91,93,84,87,84,83,82,85,91,89,81,81,76,77,86
26,2020-01-23,DJI,100,89,86,93,95,89,87,82,79,81,77,78,79,79,85,81,75,75,75,77
27,2020-02-04,BP share price,92,17,9,84,68,86,75,72,17,9,75,71,75,95,84,12,6,84,79,79
28,2020-02-03,BP share price,89,83,16,13,83,78,75,72,72,16,6,67,59,75,100,88,13,5,88,72
29,2020-01-31,BP share price,100,69,73,61,56,9,10,54,45,44,51,41,8,6,47,44,43,59,48,7
30,2020-01-30,BP share price,12,100,72,81,65,59,10,9,55,61,49,49,50,9,7,49,44,43,62,53
31,2020-01-29,BP share price,20,10,100,80,88,68,62,11,12,61,47,57,50,46,9,4,58,42,49,58
32,2020-01-28,BP share price,87,17,11,100,72,72,51,52,7,6,57,43,42,43,41,10,5,45,40,47
33,2020-01-27,BP share price,50,84,22,11,100,75,78,64,63,12,12,61,45,49,48,46,8,6,49,43
34,2020-01-24,BP share price,54,41,12,52,100,17,12,95,79,82,70,69,11,10,56,50,56,50,49,10
35,2020-01-23,BP share price,9,58,34,18,50,100,19,12,93,77,87,67,63,14,8,57,49,47,57,45
